Cikkszám,Termék Név,Státusz,Nettó Ár,Bruttó Ár,Kategória,Rövid Leírás,Hosszú leírás,Kép link,Egység,Tömeg,Paraméter: Lemez állapota||text,Paraméter: Borító állapota||text,Paraméter: Label||text,Raktárkészlet
Joy-And-Tears-LSFZ-RE002-LP,Joy (9) / Joy And Tears LSFZ RE002 LP,1,13094.73,13094.73,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Slovakia, 2016<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),Lastafroz Production,0
Stories-Bout-Love-DCART004,Silent Circle / Stories ‘Bout Love DCART004,1,9920.25,9920.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2019<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),"Lastafroz Production, AW Music Productions",0
Ritual-Of-A-Spiritual-Communion-LR-157,"Sandor Szabo, Balazs Major, Laszlo Bagi / Ritual Of A Spiritual Communion LR 157",1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in UK, 1988<br /><br />0129 
 Dedikált !",,,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),Leo Records,0
Magical-Mystery-Tour-EAS-80569,"The Beatles, The Beatles / Magical Mystery Tour = マジカル・ミステリー・ツアー EAS-80569",1,15872.4,15872.4,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1976<br /><br />0129 
 Insert yes! Obi yes!",,,db,0.2,Near Mint (NM or M-),Very Good (VG),Apple Records,0
Nightbird-G8-10210,Eva Cassidy / Nightbird G8-10210,1,33728.85,33728.85,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in UK & Europe, 2015<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),Blix Street Records,0
The-Best-Of-Eva-Cassidy-G8-10206,Eva Cassidy / The Best Of Eva Cassidy G8-10206,1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2013<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),Blix Street Records,0
Day-Breaks-00602547955722,Norah Jones / Day Breaks 00602547955722,1,11904.3,11904.3,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2016<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),Blue Note,0
Rarities-EAS-63010,"The Beatles, The Beatles / Rarities = レアリティーズ EAS-63010",1,17856.45,17856.45,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1979<br /><br />0129 
 Yes OBI! Yes Insert!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Odeon,0
68-69-GR183,Sakk-Matt / '68-'69 GR183,1,9523.44,9523.44,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 2021<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),GrundRecords,0
Es-GR189,P. Mobil / És? GR189,1,9523.44,9523.44,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 2021<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),GrundRecords,0
Greatest-Hits-Remixes-ZYX-21062-1,Radiorama / Greatest Hits & Remixes ZYX 21062-1,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany, 2015<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),ZYX Music,0
Ugass-Kutya-LP-29505,Moby Dick (5) / Ugass Kutya! LP 29505,1,47617.2,47617.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock",,,,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),"Proton, E&E",0
Terapia-HMRLP-191,Moby Dick (5) / Terápia HMRLP 191,1,23808.6,23808.6,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock",,,,db,0.2,Mint (M),Mint (M),Hammer Records (7),0
Egyutt-40-eve-HMRLP-184,Karthago (2) / Együtt 40 éve!!! HMRLP 184,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 2019<br /><br />0129 
 Új fóliás termék! ",,,db,0.2,Mint (M),Mint (M),Hammer Records (7),0
Nostradamus-20-Returnity-KAR-LP-019,Solaris (23) / Nostradamus 2.0 - Returnity KAR LP 019,1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 2020<br /><br />0129 
 Új fóliás termék! ",,,db,0.2,Mint (M),Mint (M),Kept Alive Records,0
Vadak-SOM-632LP,Thy Catafalque / Vadak SOM 632LP,1,39681.0,39681.0,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock",,,,db,0.2,Mint (M),Mint (M),Season Of Mist,0
Living-In-The-Gap-Hungarian-Pictures-19075975252,Man Doki Soulmates / Living In The Gap + Hungarian Pictures 19075975252,1,47617.2,47617.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany, 2019<br /><br />0129 
 Új fóliás termék! ",,,db,0.2,Mint (M),Mint (M),Red Rock Production,0
CPG-CPG-EP-001,CPG / CPG CPG EP 001,1,87298.2,87298.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock",,,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Moiras Records,0
Akkezdet-none,Akkezdet Phiai / Akkezdet none,1,178564.5,178564.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Hip Hop",,,,db,0.2,Mint (M),Mint (M),Not On Label,0
Akkezdet-Instrumentals-none,Akkezdet Phiai / Akkezdet - Instrumentals none,1,39681.0,39681.0,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Hip Hop","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 2020<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),Not On Label,0
Tompa-Kesek-M-LP-53,Kiscsillag / Tompa Kések M-LP-53,1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 2020<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),Megadó Kiadó,0
Tougher-Than-Leather-PRO-1265,Run-DMC / Tougher Than Leather PRO-1265,1,8729.82,8729.82,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Hip Hop","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 1988<br /><br />0129 
 Új fóliás termék! A bótitón 2mmX5mm es bevágás van! Kérésre küldök róla fotót!",,,db,0.2,Near Mint (NM or M-),Mint (M),Profile Records,0
Mary-Mary-PRO-7211,Run-DMC / Mary Mary PRO-7211,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Hip Hop","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 1988<br /><br />0129 
 Új fóliás termék! A bótitón 2mmX5mm es bevágás van! Kérésre küldök róla fotót!",,,db,0.2,Near Mint (NM or M-),Mint (M),Profile Records,0
Animals-2018-Remix-PFRLP28,Pink Floyd / Animals (2018 Remix) PFRLP28,1,11904.3,11904.3,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2022<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),"Pink Floyd Records, Pink Floyd Records",0
Magyarok-VLP-002,Ablonczy Mihály / Magyarok VLP 002,1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock",,,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Videoart,0
Dance-Control-DCART001,Mike Mareen / Dance Control DCART001,1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Slovakia, 2017<br /><br />0129 
 Új fóliás termék! ",,,db,0.2,Mint (M),Mint (M),"Discollectors Production, Lastafroz Production",0
Pozorovatelna-The-Watch-Tower-11-0285,Jazz Q / Pozorovatelna = The Watch-Tower 11 0285,1,15872.4,15872.4,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz",,,,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Panton,0
The-Blues-World-Of-Eric-Clapton-ELD-0205242,Eric Clapton / The Blues World Of Eric Clapton ELD 02.05.242,1,23808.6,23808.6,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock",,,,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),London Records,0
Take-The-Love-MLP-015,Lime (2) / Take The Love MLP-015,1,25792.65,25792.65,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Canada, 1986<br /><br />0129 
 Új fóliás termék! ",,,db,0.2,Mint (M),Mint (M),Matra,0
Marta-Szirmai-SLPX-7276,Márta Szirmay / Márta Szirmai SLPX 7276,1,35712.9,35712.9,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz",,,,db,0.2,Very Good (VG),Near Mint (NM or M-),Qualiton,0
My-Foolish-Heart-VHJD-191,"Eddie Higgins Quartet, Scott Hamilton / My Foolish Heart VHJD-191",1,31744.8,31744.8,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 2021<br /><br />0129 
 Insert van! Obi van! ",,,db,0.2,Mint (M),Mint (M),Venus Records (5),0
The-Freddie-Mercury-Album-0777-7-80999-1-8,Freddie Mercury / The Freddie Mercury Album 0777 7 80999 1 8,1,35712.9,35712.9,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock",,,,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),"Parlophone, Parlophone",0
Pleasure-W-220,Ohio Players / Pleasure W-220,1,11904.3,11904.3,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Funk / Soul",,,,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),Westbound Records,0
onikus-Zene-Hungarian-Electronic-Music-SLPX-11851,Various / Magyar Elektronikus Zene: Hungarian Electronic Music SLPX 11851,1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 1979<br /><br />0129 
 Insert megvan szép állapotban van!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Hungaroton,0
Sanfer-Instrumental-LD-3603,Orquesta EGREM / Sanfer Instrumental LD-3603,1,13888.35,13888.35,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz",,,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Areito,0
Malicious-Intent-RR-9698,Razor (2) / Malicious Intent RR 9698,1,25792.65,25792.65,Új bakelit/vinyl lemezek és CD-k|Electronic,,,,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),"Roadrunner Records, Viper Records (5)",0
Mayhem-Fuckin-Mayhem-Hardcore-87-NEAT-1040,Warfare (2) / Mayhem Fuckin' Mayhem (Hardcore 87) NEAT 1040,1,25792.65,25792.65,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock",,,,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),Neat Records,0
Dead-Rider-26009063,Breaker (7) / Dead Rider 260·09·063,1,43649.1,43649.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock",,,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Bacillus Records,0
Violent-Restitution-SPV-08-7569,Razor (2) / Violent Restitution SPV 08-7569,1,39681.0,39681.0,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany, 1988<br /><br />0129 
 Eredeti belső meg van, szép állapotban!",,,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),Steamhammer,0
Healing-Feeling-BMV1008,Laid Back / Healing Feeling BMV1008,1,35712.9,35712.9,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic",,,,db,0.2,Mint (M),Near Mint (NM or M-),Brother Music,0
Full-Circle-WMLP689241,Halie Loren / Full Circle WMLP689241,1,21824.55,21824.55,Új bakelit/vinyl lemezek és CD-k|Hip Hop,,,,db,0.2,Mint (M),Mint (M),"Master Music Ltd, White Moon Productions",0
Christmas-Songs-06025-3758030,"Diana Krall, The Clayton-Hamilton Jazz Orchestra / Christmas Songs 06025 3758030",1,13888.35,13888.35,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in USA & Europe, 2013<br /><br />0129 
 Új fóliás termék! ",,,db,0.2,Mint (M),Mint (M),Verve Records,0
Eberalom-GR205,Ismerős Arcok / Éberálom GR205,1,15078.78,15078.78,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 2022<br /><br />0129 
 Új fóliás termék! ",,,db,0.2,Mint (M),Mint (M),GrundRecords,0
A-Nagy-Fradi-Lemez-none,Various / A Nagy Fradi Lemez none,1,13888.35,13888.35,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 2022<br /><br />0129 
 Új fóliás termék! ",,,db,0.2,Mint (M),Mint (M),"Fradi Média, Magneoton",0
The-Rolling-Stones-In-Mono-018771834519,The Rolling Stones / The Rolling Stones In Mono 018771834519,1,515853.0,515853.0,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2016<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),ABKCO,0
Nevermind-30th-Anniversary-Edition-3597986,Nirvana / Nevermind (30th Anniversary Edition) 3597986,1,71425.8,71425.8,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Worldwide, 2022<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),"Geffen Records, UMe, Sub Pop",0
Blue-Camel-ENJ-7053-2,Rabih Abou-Khalil / Blue Camel ENJ-7053 2,1,2777.67,2777.67,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz",,,,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),Enja Records,0
My-Funny-Valentine-VHJD-202,Eddie Higgins Quartet / My Funny Valentine VHJD-202,1,23808.6,23808.6,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 2021<br /><br />0129 
 Yes OBI! Yes Insert!",,,db,0.2,Mint (M),Mint (M),Venus Records (5),0
When-You-Dont-See-Me-9031-73896-0,The Sisters Of Mercy / When You Don't See Me 9031-73896-0,1,9920.25,9920.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock",,,,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),"Merciful Release, EastWest",0
Porgy-Bess-827-475-1,"Ella Fitzgerald, Louis Armstrong / Porgy & Bess 827 475-1",1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 0<br /><br />0129 
 Eredeti belsők meg vannak, szép állapotban!",,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Verve Records,0
sic-Music-From-Szatmar-And-The-Mezoseg-SLPX-18103,Jánosi Ensemble / Original Folk Tunes In Bartók's Music (Music From Szatmár And The Mezőség) SLPX 18103,1,3968.1,3968.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Folk, World, & Country",,,,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Hungaroton,0
Funk-You-Program-V-85,Various / Funk You! Program V 85/245,1,15872.4,15872.4,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Hip Hop",,,,db,0.2,Good Plus (G+),Near Mint (NM or M-),Metrovynil,0
The-Spark,Kristian Conde / The Spark / 80s Come Back To Us VPB 001,1,6348.96,6348.96,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic",,,,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),Vintage Pleasure Boutique,0
Snakes-And-HiFiS-158-035-STY,The Hifis / Snakes And HiFiS 158 035 STY,1,43649.1,43649.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Pop",,,,db,0.2,Fair (F),Very Good (VG),Star-Club Records,0
Ndama-SMA-011,Ponda O'Bryan's Afro-Drum Ensemble / Ndama SMA 011,1,4761.72,4761.72,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Folk, World, & Country",,,,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),SMA Records,0
Abbey-Road-0602508007446,The Beatles / Abbey Road 0602508007446,1,47617.2,47617.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Worldwide, 2019<br /><br />0129 
 Új fóliás termék! ",,,db,0.2,Mint (M),Mint (M),"Apple Records, Universal Music Group International",0
Delicate-Sound-Of-Thunder-PFRLP36,Pink Floyd / Delicate Sound Of Thunder PFRLP36,1,35712.9,35712.9,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2020<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),"Pink Floyd Records, Pink Floyd Records",0
Live-At-Pompeii-88985464971,David Gilmour / Live At Pompeii 88985464971,1,39681.0,39681.0,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2017<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),"Columbia, Sony Music",0
44,"Sting, Shaggy / 44/876 00602567502890",1,15872.4,15872.4,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2018<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),"A&M Records, Interscope Records, Cherrytree Records",0
ual-Obligation-3-Live-In-St-Petersburg-0213156EMU,"Ian Gillan, The Don Airey Band, Kirov Orchestra / Contractual Obligation #3: Live In St. Petersburg  0213156EMU",1,11507.49,11507.49,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2019<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),Ear Music,0
The-Later-Years-1987-2019-PFRLY19LP,Pink Floyd / The Later Years 1987-2019 PFRLY19LP,1,17856.45,17856.45,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2019<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),"Pink Floyd Records, Pink Floyd Records",0
Live-At-Knebworth-1990-PFRLP34,Pink Floyd / Live At Knebworth 1990 PFRLP34,1,15475.59,15475.59,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2021<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),"Pink Floyd Records, Pink Floyd Records",0
Pulse-PFRLP17,Pink Floyd / Pulse PFRLP17,1,73409.85,73409.85,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2018<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),Pink Floyd Records,0
From-The-Film-The-Song-Remains-The-Same-R1-565219,Led Zeppelin / The Soundtrack From The Film The Song Remains The Same R1 565219,1,59521.5,59521.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 2018<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),Swan Song,0
Sex-Action-GR111,Sex Action / Sex Action GR111,1,17856.45,17856.45,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock",,,,db,0.2,Mint (M),Mint (M),GrundRecords,0
Day-Of-The-Gloom-GR123,F.O. System / Day Of The Gloom GR123,1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock",,,,db,0.2,Mint (M),Mint (M),GrundRecords,0
Let-It-Be-0602507138899,The Beatles / Let It Be 0602507138899,1,67457.7,67457.7,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Worldwide, 2021<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),"Apple Records, Universal Music Group International",0
Revolver-0602445599523,The Beatles / Revolver 0602445599523,1,87298.2,87298.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Worldwide, 2022<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),"Apple Records, Universal Music Group International, Parlophone, Apple Records, Universal Music Group International",0
How-The-West-Was-Won-0081227934156,Led Zeppelin / How The West Was Won 0081227934156,1,103170.6,103170.6,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2018<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),"Atlantic, Swan Song",0
The-Complete-BBC-Sessions-8122794390,Led Zeppelin / The Complete BBC Sessions 8122794390,1,107138.7,107138.7,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2016<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),Atlantic,0
The-Studio-Albums-1996-2007-381-401,Mark Knopfler / The Studio Albums 1996-2007 381 401,1,130947.3,130947.3,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2021<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),"Mercury, Vertigo, UMC",0
omplete-Albums-Collection-1990-2015-0190295849498,Iron Maiden / The Complete Albums Collection 1990-2015 0190295849498,1,277767.0,277767.0,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2017<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Near Mint (NM or M-),Mint (M),Parlophone,0
The-Platinum-Collection-0602435877518,Queen / The Platinum Collection 0602435877518,1,51585.3,51585.3,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2022<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),EMI,0
Very-Eavy-Very-Umble-BMGRM084LP,Uriah Heep / ...Very 'Eavy ...Very 'Umble BMGRM084LP,1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in UK, 2015<br /><br />0129 
 Új fóliás termék! ",,,db,0.2,Mint (M),Mint (M),"BMG, Sanctuary, Bronze",0
Live-In-Stockholm-1970-0209811ERE,Deep Purple / Live In Stockholm 1970 0209811ERE,1,17856.45,17856.45,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2014<br /><br />0129 
 Új fóliás termék!",,,db,0.2,Mint (M),Mint (M),Ear Music,0
Bombay-Calling-Live-In-95-0216155EMU,Deep Purple / Bombay Calling (Live In '95) 0216155EMU,1,19840.5,19840.5,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2022<br /><br />0129 
 Új fóliás termék! ",,,db,0.2,Mint (M),Mint (M),"Ear Music, Edel",0
Live-In-Paris-1975-0209764ERE,Deep Purple / Live In Paris 1975 0209764ERE,1,23808.6,23808.6,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany, 2014<br /><br />0129 
 Új fóliás termék! ",,,db,0.2,Mint (M),Mint (M),Ear Music,0
